oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error
ZTF24aaiwbat,17,7515,58332.29925929988,60436.44898150023,True,False,15,,,,,60409.44269679999,60436.44898150023,27.00628470024094,251.03053817369965,36.86907694714477,0.024668847295010916,0.019735289456692815,SN,stamp_classifier,0.953128,24.4.1,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24aaiwbat,
ZTF24abkmkko,1,1135,60585.29815969989,60585.29815969989,True,False,1,,,,,60585.29815969989,60585.29815969989,0.0,7.2637055,6.2278665,0.08550462126731873,0.08500000089406967,SN,stamp_classifier,0.95293105,24.5.2a6,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abkmkko,
ZTF24aaiwaua,6,4013,60409.44269679999,60411.51118060015,False,False,6,,,,,60409.44269679999,60411.51118060015,2.06848380016163,250.72776385157135,41.20329735550109,0.012737333401787433,0.009583276407299028,SN,stamp_classifier,0.95174056,24.4.1,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24aaiwaua,
ZTF24aaizntk,3,4620,60169.23196760006,60410.4800809999,True,False,2,,,,,60410.46107639978,60410.4800809999,0.01900460012257099,264.4962555667832,41.16068671659487,0.06858220705613749,0.05163325814886317,SN,stamp_classifier,0.95081323,24.4.1,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24aaizntk,
ZTF25aaxmsns,14,4828,60845.24888890004,60859.34456019988,True,False,13,,,,,60845.24888890004,60859.34456019988,14.09567129984498,246.55065639028928,34.1670495235523,0.024727294960379894,0.02045945476782785,SN,stamp_classifier,0.9472483,27.5.6,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF25aaxmsns,
ZTF24abjioxz,29,1398,60578.40946759982,60586.44113430008,True,False,26,,,,,60578.40946759982,60586.44113430008,8.031666700262576,4.33528660000233,-9.007211149998174,0.04653578829540506,0.04596193792378285,SN,stamp_classifier,0.94607085,24.5.2a6,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abjioxz,
ZTF24aaiwamb,2,7716,60409.43976850016,60410.451817099936,True,False,2,,,,,60409.43976850016,60410.451817099936,1.0120485997758806,247.12573640004504,30.33581815,0.06963905867039562,0.06010407703305926,SN,stamp_classifier,0.9454013,24.4.1,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24aaiwamb,
ZTF24abkkjrr,32,1611,60578.41140050022,60586.47944439994,True,False,28,,,,,60578.41140050022,60586.47944439994,8.068043899722397,5.802516850000247,1.1076688499987586,0.04597053051452447,0.045961937826493784,SN,stamp_classifier,0.9427726,24.5.2a6,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abkkjrr,
ZTF24abkueki,4,1374,60586.203576399945,60586.34320600005,True,False,4,,,,,60586.203576399945,60586.34320600005,0.13962960010394454,2.6155499666666677,1.3844799333332918,0.037538726557642794,0.03752776609433663,SN,stamp_classifier,0.9417462,24.5.2a6,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abkueki,
ZTF18abjjgwy,15,3606,58323.25,59971.5,True,False,12,-0.094931,0.168931,-0.41194078,0.12840489,59930.496956000105,59971.464004599955,40.967048599850386,240.3128661083334,74.70515618333332,0.0002889503369051714,9.99885432819368e-05,SN,stamp_classifier,0.9411939,1.1.6,SN,,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF18abjjgwy,
